ensembl_gene_id	chromosome_name	start_position	end_position	percentage_gene_gc_content	description
ENSG00000178591	20	87250	97094	37.75	defensin beta 125 [Source:HGNC Symbol;Acc:HGNC:18105]
ENSG00000125788	20	142369	145751	35.41	defensin beta 126 [Source:HGNC Symbol;Acc:HGNC:15900]
ENSG00000088782	20	157470	159163	39.85	defensin beta 127 [Source:HGNC Symbol;Acc:HGNC:16206]
ENSG00000185982	20	187853	189681	41.39	defensin beta 128 [Source:HGNC Symbol;Acc:HGNC:18106]
ENSG00000125903	20	227258	229886	39.94	defensin beta 129 [Source:HGNC Symbol;Acc:HGNC:16218]
ENSG00000186458	20	257736	261096	42.9	defensin beta 132 [Source:HGNC Symbol;Acc:HGNC:33806]
ENSG00000272874	20	267186	268857	50	novel transcript
ENSG00000196476	20	270863	290778	48.38	chromosome 20 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:16227]
ENSG00000247315	20	296968	300321	55.16	zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]
ENSG00000225377	20	320313	348224	52	NRSN2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51222]
ENSG00000177732	20	325595	330224	61.99	SRY-box 12 [Source:HGNC Symbol;Acc:HGNC:11198]
ENSG00000125841	20	346782	359660	51.94	neurensin 2 [Source:HGNC Symbol;Acc:HGNC:16229]
ENSG00000101255	20	362835	397559	50.47	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]
ENSG00000125826	20	407498	430966	51.12	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]
ENSG00000125875	20	435480	462553	46.39	TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]
ENSG00000206797	20	450663	450762	43	
ENSG00000101266	20	472498	543835	41.35	casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]
ENSG00000125878	20	603797	610398	56.76	transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11627]
ENSG00000271303	20	646615	653370	52.81	sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]
ENSG00000270299	20	646626	675800	53.26	novel protein
ENSG00000215397	20	661596	676179	56.71	scratch family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:15952]
ENSG00000101276	20	760080	776015	51.37	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]
ENSG00000125898	20	833715	857463	51.88	family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188]
ENSG00000101278	20	839447	839977	54.99	ribosomal protein S10 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:15795]
ENSG00000101280	20	869899	916317	50.63	angiopoietin 4 [Source:HGNC Symbol;Acc:HGNC:487]
ENSG00000101282	20	958452	1002264	50.85	R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175]
ENSG00000125818	20	1113263	1189415	45.44	proteasome inhibitor subunit 1 [Source:HGNC Symbol;Acc:HGNC:9571]
ENSG00000276026	20	1117847	1118450	44.87	uncharacterized LOC105372493 [Source:NCBI gene;Acc:105372493]
ENSG00000215388	20	1160584	1161697	55.12	actin gamma 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:148]
ENSG00000125895	20	1180561	1185415	55.74	transmembrane protein 74B [Source:HGNC Symbol;Acc:HGNC:15893]
ENSG00000274269	20	1186092	1207036	46.26	novel transcript
ENSG00000215595	20	1203454	1208274	47.58	chromosome 20 open reading frame 202 [Source:HGNC Symbol;Acc:HGNC:37254]
ENSG00000244588	20	1226056	1296421	41.9	RAD21 cohesin complex component like 1 [Source:HGNC Symbol;Acc:HGNC:16271]
ENSG00000101298	20	1266280	1309328	50.5	syntaphilin [Source:HGNC Symbol;Acc:HGNC:15931]
ENSG00000125775	20	1309909	1329239	50.43	syndecan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15756]
ENSG00000274322	20	1317571	1393096	45.09	novel transcript
